Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Altitude,ECI-x,ECI-y,ECI-z
2024,8,6,0,1,23.99998695,-41.05574961,93.06655692,663383.2084,3537904.788,3958776.884,-4611406.016
2024,8,6,0,1,24.99998152,-41.02378437,93.13121425,663336.0754,3534845.057,3964929.851,-4608411.327
2024,8,6,0,1,26.00001633,-40.9917776,93.19580573,663288.862,3531781.282,3971078.281,-4605411.349
2024,8,6,0,1,27.00001091,-40.95972937,93.26033174,663241.5682,3528713.464,3977222.166,-4602406.087
2024,8,6,0,1,28.00000548,-40.92763978,93.32479218,663194.1941,3525641.608,3983361.5,-4599395.544
2024,8,6,0,1,29.00000006,-40.8955089,93.3891871,663146.7399,3522565.717,3989496.274,-4596379.723
2024,8,6,0,1,29.99999464,-40.86333682,93.45351655,663099.2056,3519485.795,3995626.482,-4593358.627
2024,8,6,0,1,30.99998921,-40.83112362,93.51778059,663051.5913,3516401.844,4001752.117,-4590332.26
2024,8,6,0,1,31.99998379,-40.79886938,93.58197927,663003.897,3513313.869,4007873.172,-4587300.625
2024,8,6,0,1,33.0000186,-40.76657419,93.64611247,662956.123,3510221.873,4013989.639,-4584263.726
2024,8,6,0,1,34.00001317,-40.73423812,93.7101806,662908.2692,3507125.859,4020101.512,-4581221.566
2024,8,6,0,1,35.00000775,-40.70186126,93.77418354,662860.3358,3504025.831,4026208.784,-4578174.149
2024,8,6,0,1,36.00000232,-40.66944369,93.83812134,662812.3228,3500921.792,4032311.447,-4575121.477
2024,8,6,0,1,36.9999969,-40.63698549,93.90199406,662764.2303,3497813.746,4038409.494,-4572063.554
2024,8,6,0,1,37.99999148,-40.60448675,93.96580177,662716.0585,3494701.696,4044502.918,-4569000.384
2024,8,6,0,1,38.99998605,-40.57194754,94.02954451,662667.8073,3491585.646,4050591.712,-4565931.97
2024,8,6,0,1,39.99998063,-40.53936795,94.09322234,662619.477,3488465.599,4056675.87,-4562858.315
2024,8,6,0,1,41.00001544,-40.50674806,94.15683516,662571.0675,3485341.559,4062755.384,-4559779.423
2024,8,6,0,1,42.00001001,-40.47408794,94.22038336,662522.5791,3482213.529,4068830.246,-4556695.298
2024,8,6,0,1,43.00000459,-40.44138769,94.28386682,662474.0116,3479081.512,4074900.451,-4553605.942
2024,8,6,0,1,43.99999917,-40.40864738,94.34728562,662425.3654,3475945.513,4080965.991,-4550511.359
2024,8,6,0,1,44.99999374,-40.3758671,94.4106398,662376.6404,3472805.535,4087026.858,-4547411.553
2024,8,6,0,1,45.99998832,-40.34304692,94.47392943,662327.8367,3469661.58,4093083.047,-4544306.528
2024,8,6,0,1,46.99998289,-40.31018692,94.53715457,662278.9544,3466513.654,4099134.549,-4541196.285
2024,8,6,0,1,48.0000177,-40.27728719,94.60031511,662229.9936,3463361.759,4105181.358,-4538080.83
2024,8,6,0,1,49.00001228,-40.2443478,94.66341144,662180.9545,3460205.898,4111223.467,-4534960.165
2024,8,6,0,1,50.00000685,-40.21136884,94.72644346,662131.837,3457046.076,4117260.868,-4531834.294
2024,8,6,0,1,51.00000143,-40.17835039,94.78941123,662082.6413,3453882.296,4123293.556,-4528703.221
2024,8,6,0,1,51.99999601,-40.14529253,94.85231482,662033.3675,3450714.562,4129321.522,-4525566.948
2024,8,6,0,1,52.99999058,-40.11219533,94.91515427,661984.0156,3447542.876,4135344.76,-4522425.48
2024,8,6,0,1,53.99998516,-40.07905888,94.97792967,661934.5858,3444367.243,4141363.263,-4519278.82
2024,8,6,0,1,55.00001997,-40.04588326,95.04064089,661885.0782,3441187.666,4147377.024,-4516126.972
2024,8,6,0,1,56.00001454,-40.01266854,95.10328834,661835.4928,3438004.149,4153386.035,-4512969.938
2024,8,6,0,1,57.00000912,-39.97941481,95.16587191,661785.8297,3434816.694,4159390.291,-4509807.723
2024,8,6,0,1,58.0000037,-39.94612215,95.22839167,661736.089,3431625.307,4165389.783,-4506640.33
2024,8,6,0,1,58.99999827,-39.91279063,95.29084768,661686.2708,3428429.99,4171384.506,-4503467.762
2024,8,6,0,1,59.99999285,-39.87942034,95.35324,661636.3753,3425230.747,4177374.451,-4500290.024
2024,8,6,0,2,0.999987423,-39.84601136,95.4155687,661586.4024,3422027.582,4183359.612,-4497107.118
